file,count
HIP13856.tsv.gz,251032
HIP09284.tsv.gz,177198
HIP04510.tsv.gz,99438
HIP14161.tsv.gz,221748
HIP16867.tsv.gz,268609
HIP13168.tsv.gz,152258
HIP02663.tsv.gz,131416
HIP13720.tsv.gz,205870
HIP03693.tsv.gz,262191
HIP16515.tsv.gz,167494
HIP14028.tsv.gz,110369
HIP08986.tsv.gz,187406
HIP13256.tsv.gz,165315
HIP03495.tsv.gz,208877
HIP02090.tsv.gz,197191
HIP14240.tsv.gz,223498
HIP10376.tsv.gz,103200
HIP13513.tsv.gz,239040
HIP14227.tsv.gz,242840
HIP02103.tsv.gz,284327
HIP14109.tsv.gz,287525
HIP03511.tsv.gz,190643
HIP17462.tsv.gz,202746
HIP13754.tsv.gz,225150
HIP08200.tsv.gz,131075
HIP10820.tsv.gz,204365
HIP14103.tsv.gz,202805
HIP13627.tsv.gz,157180
HIP04545.tsv.gz,153362
HIP13793.tsv.gz,160820
HIP03618.tsv.gz,154928
HIP13294.tsv.gz,204203
HIP14051.tsv.gz,177588
HIP00594.tsv.gz,146975
HIP13473.tsv.gz,291274
HIP14156.tsv.gz,103963
HIP09119.tsv.gz,146316
HIP13877.tsv.gz,190417
HIP13994.tsv.gz,145156
HIP05540.tsv.gz,183208
HIP00640.tsv.gz,184630
HIP17723.tsv.gz,181700
HIP01004.tsv.gz,228358
HIP13663.tsv.gz,252197
HIP14043.tsv.gz,193097
HIP10514.tsv.gz,228246
HIP08972.tsv.gz,144449
HIP14015.tsv.gz,119406
HIP13822.tsv.gz,215771
HIP04527.tsv.gz,136395
HIP14181.tsv.gz,239682
HIP14048.tsv.gz,204284
HIP13227.tsv.gz,96732
HIP14243.tsv.gz,251505
HIP10597.tsv.gz,136812
HIP01298.tsv.gz,199497
HIP13319.tsv.gz,97234
HIP01253.tsv.gz,149863
HIP14140.tsv.gz,153009
HIP14127.tsv.gz,134862
HIP14118.tsv.gz,250875
HIP04471.tsv.gz,176437
HIP03597.tsv.gz,234684
HIP14030.tsv.gz,175225
HIP10716.tsv.gz,260729
HIP14148.tsv.gz,175793
HIP00822.tsv.gz,122786
HIP05455.tsv.gz,135679
HIP13736.tsv.gz,137520
HIP00999.tsv.gz,265819
